Year,CohortWidth,Midpoint
2000,49.28018209,161.8869211
2001,37.16156572,150.4446349
2002,56.7534178,126.4029317
2003,33.99903022,144.3111372
2004,40.3342906,134.0934446
2005,30.6594392,115.0064241
2006,8.665897988,122.1719523
2007,25.5352705,132.5748988
2008,29.22205263,152.6765073
2009,25.15515621,122.6149038
2010,20.51082787,129.6468591
2011,45.68276966,133.194086
2012,35.93035712,144.5382318
2013,52.16005357,157.8992097
2014,42.78992903,126.3808006
2015,34.94359859,115.1971482
2016,42.96603305,122.3729391
2017,6.841503926,120.5968468
2018,31.88280218,123.9812018
