,Year,Month,SST,SSTa
0,1999,1,7.3855643,0.31375122
1,1999,2,6.4849033,-0.1949544
2,1999,3,6.1360335,-0.31628132
3,1999,4,6.3610153,-0.4892149
4,1999,5,7.2121644,-1.014194
5,1999,6,9.069711,-1.317132
6,1999,7,11.172425,-1.5888233
7,1999,8,13.375483,-1.1763029
8,1999,9,13.04415,-1.0368233
9,1999,10,11.15432,-0.87062645
10,1999,11,8.67465,-0.85987663
11,1999,12,7.339252,-0.61917543
12,2000,1,6.3951893,-0.6766238
13,2000,2,6.021522,-0.6583357
14,2000,3,6.0156493,-0.43666553
15,2000,4,6.501399,-0.34883118
16,2000,5,7.8344088,-0.39194965
17,2000,6,10.168987,-0.21785545
18,2000,7,12.723893,-0.037355423
19,2000,8,14.191748,-0.3600378
20,2000,9,13.881497,-0.19947624
21,2000,10,12.027796,0.0028495789
22,2000,11,9.4683,-0.06622696
23,2000,12,7.90729,-0.051137447
24,2001,1,7.0533175,-0.01849556
25,2001,2,6.6421347,-0.037723064
26,2001,3,6.318105,-0.13420963
27,2001,4,6.5830855,-0.26714468
28,2001,5,7.75128,-0.47507858
29,2001,6,9.852874,-0.5339689
30,2001,7,11.8247175,-0.93653107
31,2001,8,13.779239,-0.77254677
32,2001,9,12.8859215,-1.1950521
33,2001,10,10.946476,-1.0784702
34,2001,11,8.507554,-1.0269728
35,2001,12,7.1119766,-0.8464508
36,2002,1,6.787747,-0.2840662
37,2002,2,6.106125,-0.57373285
38,2002,3,5.8888083,-0.5635066
39,2002,4,6.5258603,-0.3243699
40,2002,5,7.849497,-0.37686157
41,2002,6,10.145957,-0.24088573
42,2002,7,12.849152,0.08790302
43,2002,8,14.739071,0.18728542
44,2002,9,14.410625,0.32965183
45,2002,10,13.0005455,0.9755993
46,2002,11,10.841488,1.306961
47,2002,12,9.171809,1.2133818
48,2003,1,7.775687,0.7038741
49,2003,2,7.4366503,0.75679255
50,2003,3,7.162874,0.71055937
51,2003,4,7.16372,0.3134899
52,2003,5,8.488949,0.2625904
53,2003,6,10.536323,0.14947987
54,2003,7,13.069088,0.3078394
55,2003,8,14.676478,0.12469292
56,2003,9,14.096594,0.015620232
57,2003,10,12.156157,0.13121033
58,2003,11,9.796801,0.2622738
59,2003,12,7.994776,0.036348343
60,2004,1,7.0200057,-0.051807404
61,2004,2,6.6896443,0.009786606
62,2004,3,6.6521344,0.19981956
63,2004,4,7.2594905,0.40926027
64,2004,5,8.818792,0.5924339
65,2004,6,11.1169815,0.7301388
66,2004,7,14.018448,1.2571993
67,2004,8,15.76331,1.211525
68,2004,9,14.485037,0.40406322
69,2004,10,12.160963,0.13601685
70,2004,11,9.572278,0.037751198
71,2004,12,8.187614,0.22918701
72,2005,1,7.3347354,0.2629223
73,2005,2,7.1754727,0.495615
74,2005,3,7.2297173,0.7774024
75,2005,4,7.430404,0.58017397
76,2005,5,9.383359,1.1570005
77,2005,6,11.572532,1.185689
78,2005,7,13.751321,0.99007225
79,2005,8,15.522374,0.9705887
80,2005,9,14.6630945,0.5821209
81,2005,10,11.926071,-0.098875046
82,2005,11,9.265297,-0.2692299
83,2005,12,8.036309,0.07788181
84,2006,1,7.2864943,0.21468115
85,2006,2,6.6369705,-0.04288721
86,2006,3,6.2117515,-0.2405634
87,2006,4,6.558976,-0.29125404
88,2006,5,7.818972,-0.4073863
89,2006,6,10.327166,-0.059677124
90,2006,7,12.499239,-0.26200962
91,2006,8,13.852735,-0.6990509
92,2006,9,13.664125,-0.41684818
93,2006,10,12.448618,0.42367172
